user_input,user_intent,score
"How do I link my existing health policy?","Add Health Policy",1.0
"I want to purchase a new health plan","Buy Health Insurance",1.0
"Add my corporate health plan to my account","Add Corporate Health Policy",1.0
"Can I buy Elevate coverage online?","Buy Elevate",1.0
"How to register my retail health policy?","Add Retail Health Policy",1.0
"I need to insure my car","Buy Car Insurance",1.0
"Link my travel insurance to my profile","Add Travel Policy",1.0
"I need a health policy","Add Health Policy",0.4
"I want a health policy","Buy Health Insurance",1.0
"Add a car insurance plan","Add Vehicle Policy",0.3
"Add a car insurance plan","Buy Car Insurance",0.7
"I already have Elevate. How do I track it?","Add Health Policy",0.1
"I want to add a policy","Add Policy",1
"I want to add a policy","Buy Policy",0.1
"Play a calming sound","Buy Home insurance",0
"Give me directions to the airport","Buy Health Insurance",0
"Check my internet speed","Buy Travel insurance",0
"Suggest a book to read","Buy Bike insurance",0
"Remind me to call mom","Buy Car insurance",0
"What’s on my calendar today?","Buy Active Booster",0
"Find local sports events","Buy MaxProtect",0
"I already have Elevate. How do I track it?","Buy Elevate",0.1
"Set up a home insurance policy for my house","Add Home Policy",1.0
"Purchase Active Booster for my family","Buy Active Booster",1.0
"Can I add my bike insurance to the app?","Add Vehicle Policy",1.0
"Buy MaxProtect for my parents","Buy MaxProtect",1.0
"Add my existing travel policy","Add Travel Policy",1.0
"Sign up for Health AdvantEdge","Buy Health AdvantEdge",1.0
"Add my purchased home policy to my account","Add Home Policy",1.0
"Link my existing Elevate policy","Add Health Policy",1.0
"Where can I buy Health AdvantEdge?","Buy Health AdvantEdge",1.0
"Add my old corporate health plan","Add Corporate Health Policy",1.0
"Get me a new travel insurance plan","Buy Travel Insurance",1.0
"How do I connect my retail health policy?","Add Retail Health Policy",1.0
"Purchase Active Booster Combo today","Buy Active Booster Combo",1.0
"Add my motorcycle insurance details","Add Vehicle Policy",1.0
"I need to buy home insurance","Buy Home Insurance",1.0
"Register my pre-owned health policy","Add Health Policy",1.0
"Sign me up for MaxProtect","Buy MaxProtect",1.0
"Add my spouse's health coverage","Add Health Policy",0.9
"Can I buy a car policy online?","Buy Car Insurance",1.0
"Integrate my corporate health plan","Add Corporate Health Policy",0.95
"Looking for cheap bike insurance","Buy Bike Insurance",1.0
"Add my travel insurance from last year","Add Travel Policy",1.0
"Buy a Health AdvantEdge package","Buy Health AdvantEdge",1.0
"Upload my existing home policy","Add Home Policy",1.0
"I want to purchase Elevate","Buy Elevate",1.0
"Attach my retail health plan","Add Retail Health Policy",1.0
"Need Active Booster for gym","Buy Active Booster",1.0
"Add my vintage car insurance","Add Vehicle Policy",1.0
"Buy a policy for my new house","Buy Home Insurance",1.0
"I need to add a corporate health policy","Add Corporate Health Policy",1
"Register a health policy for my company","Add Corporate Health Policy",1
"Please add corporate health insurance","Add Corporate Health Policy",1
"I want to add a policy","Face Scan",0.1
"I want to add a policy","Buy Bike insurance",0.1
"Please add a new policy for me","Track Health",0.1
"Help me register a policy","Buy Travel insurance",0.1
"Start a policy application","Driving Licence",0.1
"I want to buy Elevate insurance","Buy Elevate",1
"Remind me about my meeting","Add Health Policy",0
"Turn off the lights","Add Health Policy",0
"Play a calming sound","Buy Health Insurance",0
"Give me directions to the airport","Buy Health Insurance",0
"Check my internet speed","Buy Health Insurance",0
"Suggest a book to read","Buy Elevate",0
"Remind me to call mom","Buy Elevate",0
"I need to initiate a policy","Motor self inspection",0.1
"Can you help me add a policy?","IL DriveSmart",0.1
"Process a new policy for my account","ABHA Id",0.1
"I would like to add an insurance policy","View Travel Policies",0.1
"Register a new policy for me","Steps",0.1
"Check my policy status","Buy Car insurance",0.1
"Download my insurance documents","Buy MaxProtect",0.1
"Renew my expired policy","Buy Active Booster",0.1
"Connect my old health plan","Add Health Policy",0.9
"Order MaxProtect for my team","Buy MaxProtect",1.0
"Add my company’s health policy","Add Corporate Health Policy",1.0
"Get bike insurance quotes","Buy Bike Insurance",1.0
"Add last year’s travel policy","Add Travel Policy",1.0
"Buy Health AdvantEdge for family","Buy Health AdvantEdge",1.0
"Register my inherited home policy","Add Home Policy",1.0
"Where to buy Elevate?","Buy Elevate",1.0
"Sync my retail health coverage","Add Retail Health Policy",0.9
"Purchase Active Booster Combo now","Buy Active Booster Combo",1.0
"Add my scooter insurance","Add Vehicle Policy",1.0
"Buy home insurance ASAP","Buy Home Insurance",1.0
"Attach my old health plan","Add Health Policy",0.9
"Buy MaxProtect for my kids","Buy MaxProtect",1.0
"Add our corporate health plan","Add Corporate Health Policy",1.0
"Looking for bike insurance deals","Buy Bike Insurance",1.0
"Add my expired travel policy","Add Travel Policy",0.8
"Buy Health AdvantEdge today","Buy Health AdvantEdge",1.0
"Upload my home policy PDF","Add Home Policy",1.0
"Can I purchase Elevate?","Buy Elevate",1.0
"Integrate my retail health plan","Add Retail Health Policy",0.9
"Need Active Booster for yoga","Buy Active Booster",1.0
"Add my truck insurance","Add Vehicle Policy",1.0
"Buy new home insurance","Buy Home Insurance",1.0
"Link my family health policy","Add Health Policy",0.9
"Buy MaxProtect for parents","Buy MaxProtect",1.0
"Start a corporate health policy process","Add Corporate Health Policy",1
"I want to add a retail health policy","Add Retail Health Policy",1
"Help me register a personal health policy","Add Retail Health Policy",1
"Add my retail health insurance policy","Add Retail Health Policy",1
"Purchase health insurance plan","Buy Health Insurance",1
"Help me buy a health insurance policy","Buy Health Insurance",1
"Looking to purchase health insurance","Buy Health Insurance",1
"What’s on my calendar today?","Buy Elevate",0
"Find local sports events","Buy MaxProtect",0
"Initiate a retail health policy application","Add Retail Health Policy",1
"I need to add a vehicle insurance policy","Add Vehicle Policy",1
"Register a new vehicle policy","Add Vehicle Policy",1
"Get details on the policy loan facility in my life insurance policy","Buy MaxProtect",0.1
"Find out about the policy surrender process in my life insurance policy","Buy Active Booster Combo",0.1
"Check if my life insurance policy has a free-look period","Buy Health AdvantEdge",0.1
"Find out about the policy nomination process in my life insurance policy","View Health Quotient",0.1
"I want to add a policy","View Challans",0
"Please add a new policy for me","Add Policy",1
"Help me register a policy","Add Policy",1
"Start a policy application","Add Policy",1
"I need to initiate a policy","Add Policy",1
"Recommend a new hobby","View Vehicle Policies",0
"How do I start a podcast?","View Travel Policies",0
"Suggest a Netflix series to watch","View Travel Policies",0
"How do I bake a chocolate cake?","View Travel Policies",0
"Give me a random number","View Home Policies",0
"Help me register a policy","Buy Travel insurance",0.1
"Start a policy application","Driving Licence",0.1
"I need to initiate a policy","Motor self inspection",0.1
"Add our company health plan","Add Corporate Health Policy",1.0
"Get cheap bike insurance","Buy Bike Insurance",1.0
"Add my past travel insurance","Add Travel Policy",0.8
"Buy Health AdvantEdge now","Buy Health AdvantEdge",1.0
"Attach my home policy document","Add Home Policy",1.0
"Purchase Elevate coverage","Buy Elevate",1.0
"Sync my retail health policy","Add Retail Health Policy",0.9
"Order Active Booster Combo","Buy Active Booster Combo",1.0
"Add my RV insurance","Add Vehicle Policy",1.0
"Buy home insurance today","Buy Home Insurance",1.0
"Register my old health plan","Add Health Policy",0.9
"Buy MaxProtect for spouse","Buy MaxProtect",1.0
"Add corporate health coverage","Add Corporate Health Policy",1.0
"Find bike insurance options","Buy Bike Insurance",1.0
"Add my previous travel policy","Add Travel Policy",0.8
"Buy Health AdvantEdge online","Buy Health AdvantEdge",1.0
"Upload home policy details","Add Home Policy",1.0
"Where to purchase Elevate?","Buy Elevate",1.0
"Link retail health plan","Add Retail Health Policy",0.9
"Get Active Booster today","Buy Active Booster",1.0
"Add my ATV insurance","Add Vehicle Policy",1.0
"Buy a new home policy","Buy Home Insurance",1.0
"Attach my health plan","Add Health Policy",0.8
"Buy MaxProtect for family","Buy MaxProtect",1.0
"Add our corporate policy","Add Corporate Health Policy",1.0
"Need bike insurance now","Buy Bike Insurance",1.0
"Add my old travel policy","Add Travel Policy",0.8
"Buy Health AdvantEdge package","Buy Health AdvantEdge",1.0
"Register home insurance","Add Home Policy",0.7
"Purchase Elevate now","Buy Elevate",1.0
"Sync retail health policy","Add Retail Health Policy",0.9
"Buy Active Booster Combo","Buy Active Booster Combo",1.0
"Add my boat insurance","Add Vehicle Policy",1.0
"Get home insurance quotes","Buy Home Insurance",1.0
"Link my health coverage","Add Health Policy",0.8
"Buy MaxProtect today","Buy MaxProtect",1.0
"Add corporate plan","Add Corporate Health Policy",0.9
"Best bike insurance?","Buy Bike Insurance",0.8
"Add past travel policy","Add Travel Policy",0.7
"Buy Health AdvantEdge","Buy Health AdvantEdge",1.0
"Upload my home policy","Add Home Policy",0.9
"Order Elevate coverage","Buy Elevate",1.0
"Retail health plan setup","Add Retail Health Policy",0.7
"Need Active Booster","Buy Active Booster",1.0
"Add my trailer insurance","Add Vehicle Policy",1.0
"Add my snowmobile insurance","Add Vehicle Policy",1.0
"New home insurance","Buy Home Insurance",0.9
"I want to add health policy and buy new health elevate policy","Add Health Policy",1.0  
"I want to add health policy and buy new health elevate policy","Buy Elevate",1.0  
"Add my corporate policy and purchase MaxProtect","Add Corporate Health Policy",1.0  
"Add my corporate policy and purchase MaxProtect","Buy MaxProtect",1.0  
"Link my retail health plan and buy Active Booster","Add Retail Health Policy",1.0  
"Link my retail health plan and buy Active Booster","Buy Active Booster",1.0  
"Register my vehicle policy and get new car insurance","Add Vehicle Policy",1.0  
"Register my vehicle policy and get new car insurance","Buy Car Insurance",1.0  
"Upload my home policy and buy Health AdvantEdge","Add Home Policy",1.0  
"Upload my home policy and buy Health AdvantEdge","Buy Health AdvantEdge",1.0  
"Integrate my travel policy and purchase travel insurance","Add Travel Policy",1.0  
"Integrate my travel policy and purchase travel insurance","Buy Travel Insurance",1.0  
"Add existing health coverage and buy Elevate","Add Health Policy",1.0  
"Add existing health coverage and buy Elevate","Buy Elevate",1.0  
"Add retail policy and buy Active Booster","Buy Active Booster",1.0  
"Upload vehicle policy and insure my new car","Add Vehicle Policy",1.0  
"Upload vehicle policy and insure my new car","Buy Car Insurance",1.0  
"Attach home insurance and buy Health AdvantEdge","Add Home Policy",1.0  
"Attach home insurance and buy Health AdvantEdge","Buy Health AdvantEdge",1.0  
"Sync travel policy and purchase travel coverage","Add Travel Policy",1.0  
"Sync travel policy and purchase travel coverage","Buy Travel Insurance",1.0  
"Add my health plan and get Elevate","Add Health Policy",1.0  
"Add my health plan and get Elevate","Buy Elevate",1.0  
"Link corporate coverage and buy MaxProtect","Add Corporate Health Policy",1.0  
"Link corporate coverage and buy MaxProtect","Buy MaxProtect",1.0  
"Register retail policy and order Active Booster Combo","Add Retail Health Policy",1.0  
"Register retail policy and order Active Booster Combo","Buy Active Booster Combo",1.0  
"Integrate bike insurance and purchase car policy","Add Vehicle Policy",1.0  
"Integrate bike insurance and purchase car policy","Buy Car Insurance",1.0  
"Add home policy and buy Health AdvantEdge","Add Home Policy",1.0  
"Add home policy and buy Health AdvantEdge","Buy Health AdvantEdge",1.0  
"Attach travel insurance and buy new travel plan","Add Travel Policy",1.0  
"Attach travel insurance and buy new travel plan","Buy Travel Insurance",1.0  
"Upload health policy and purchase Elevate","Add Health Policy",1.0  
"Upload health policy and purchase Elevate","Buy Elevate",1.0  
"Sync corporate plan and buy MaxProtect","Add Corporate Health Policy",1.0  
"Sync corporate plan and buy MaxProtect","Buy MaxProtect",1.0  
"Link retail policy and get Active Booster","Add Retail Health Policy",1.0  
"Link retail policy and get Active Booster","Buy Active Booster",1.0  
"Add vehicle insurance and buy bike coverage","Add Vehicle Policy",1.0  
"Add vehicle insurance and buy bike coverage","Buy Bike Insurance",1.0  
"Register home policy and purchase Health AdvantEdge","Add Home Policy",1.0  
"Register home policy and purchase Health AdvantEdge","Buy Health AdvantEdge",1.0  
"Integrate travel policy and buy travel insurance","Add Travel Policy",1.0  
"Integrate travel policy and buy travel insurance","Buy Travel Insurance",1.0  
"Attach health plan and order Elevate","Add Health Policy",1.0  
"Attach health plan and order Elevate","Buy Elevate",1.0  
"Add corporate policy and buy MaxProtect","Add Corporate Health Policy",1.0  
"Add corporate policy and buy MaxProtect","Buy MaxProtect",1.0  
"Sync retail health plan and purchase Active Booster","Add Retail Health Policy",1.0  
"Sync retail health plan and purchase Active Booster","Buy Active Booster",1.0  
"Link vehicle policy and insure my new bike","Add Vehicle Policy",1.0  
"Link vehicle policy and insure my new bike","Buy Bike Insurance",1.0  
"Upload home insurance and get Health AdvantEdge","Add Home Policy",1.0  
"Upload home insurance and get Health AdvantEdge","Buy Health AdvantEdge",1.0  
"Add travel policy and buy new travel coverage","Add Travel Policy",1.0  
"Add travel policy and buy new travel coverage","Buy Travel Insurance",1.0  
"Register health plan and purchase Elevate","Add Health Policy",1.0  
"Connect corporate health plan and order MaxProtect","Add Corporate Health Policy",1.0  
"Connect corporate health plan and order MaxProtect","Buy MaxProtect",1.0  
"Sync retail policy and sign up for Active Booster Combo","Add Retail Health Policy",1.0  
"Sync retail policy and sign up for Active Booster Combo","Buy Active Booster Combo",1.0  
"Attach vehicle insurance and buy bike coverage","Add Vehicle Policy",1.0  
"Attach vehicle insurance and buy bike coverage","Buy Bike Insurance",1.0  
"Add home policy document and purchase Health AdvantEdge","Add Home Policy",1.0  
"Add home policy document and purchase Health AdvantEdge","Buy Health AdvantEdge",1.0  
"Link old travel policy and get new travel insurance","Add Travel Policy",1.0  
"Link old travel policy and get new travel insurance","Buy Travel Insurance",1.0  
"Register health plan and buy Elevate package","Add Health Policy",1.0  
"Register health plan and buy Elevate package","Buy Elevate",1.0  
"Integrate corporate plan and purchase MaxProtect","Add Corporate Health Policy",1.0  
"Integrate corporate plan and purchase MaxProtect","Buy MaxProtect",1.0  
"Add retail policy and buy Active Booster","Add Retail Health Policy",1.0  
"Buy home coverage","Buy Home Insurance",0.9
"Existing health plan help","Add Health Policy",0.6
"MaxProtect pricing","Buy MaxProtect",0.8
"Corporate policy integration","Add Corporate Health Policy",0.7
"Bike insurance options","Buy Bike Insurance",0.8
"Old travel policy help","Add Travel Policy",0.6
"Health AdvantEdge cost","Buy Health AdvantEdge",0.8
"Home policy upload","Add Home Policy",0.7
"Elevate purchase","Buy Elevate",1.0
"Retail health link","Add Retail Health Policy",0.6
"Active Booster signup","Buy Active Booster",1.0
"Can you help me add a policy?","IL DriveSmart",0.1
"Process a new policy for my account","ABHA Id",0.1
"I would like to add an insurance policy","View Travel Policies",0.1
"Register a new policy for me","Steps",0.1
"What is the capital of France?","Add Policy",0
"Solve this math equation: 2+2","Add Health Policy",0
"Help me add car insurance policy","Add Vehicle Policy",1
"Initiate a vehicle policy for my car","Add Vehicle Policy",1
"Purchase Elevate plan","Buy Elevate",1
"Help me buy the Elevate package","Buy Elevate",1
"Looking to get Elevate insurance","Buy Elevate",1
"I want to buy MaxProtect insurance","Buy MaxProtect",1
"Purchase MaxProtect plan","Buy MaxProtect",1
"Help me buy the MaxProtect package","Buy MaxProtect",1
"Looking to get MaxProtect coverage","Buy MaxProtect",1
"I want to buy travel insurance","Buy Travel insurance",1
"Purchase a travel insurance policy","Buy Travel insurance",1
"Help me get travel insurance","Buy Travel insurance",1
"Looking for travel insurance options","Buy Travel insurance",1
"I need some FAQs","FAQs",1
"Show me the FAQs","FAQs",1
"Frequently asked questions","FAQs",1
"Help me with FAQs","FAQs",1
"I want to view my health policies","View Health Policies",1
"Show my health policies","View Health Policies",1
"Display health insurance policies","View Health Policies",1
"List all my health policies","View Health Policies",1
"I want to manage my documents","Manage Documents",1
"Help me manage documents","Manage Documents",1
"Document management","Manage Documents",1
"Access document management","Manage Documents",1
"I want to view my challans","View Challans",1
"Show me my challans","View Challans",1
"What’s my daily horoscope?","Buy Bike insurance",0
"When is my next dentist appointment?","Buy Bike insurance",0
"How do I cook pasta?","Buy Bike insurance",0
"Turn off my alarm","Buy Travel insurance",0
"Register health plan and purchase Elevate","Buy Elevate",1.0  
"Integrate corporate health policy and buy MaxProtect","Add Corporate Health Policy",1.0  
"Integrate corporate health policy and buy MaxProtect","Buy MaxProtect",1.0  
"Attach retail policy and order Active Booster Combo","Add Retail Health Policy",1.0  
"Attach retail policy and order Active Booster Combo","Buy Active Booster Combo",1.0  
"Add vehicle insurance and buy car policy","Add Vehicle Policy",1.0  
"Add vehicle insurance and buy car policy","Buy Car Insurance",1.0  
"Link home policy and purchase Health AdvantEdge","Add Home Policy",1.0  
"Link home policy and purchase Health AdvantEdge","Buy Health AdvantEdge",1.0  
user_input,user_intent,score
"How do I link my old health plan?","Add Health Policy",1.0
"Need insurance for my car","Buy Car Insurance",0.9
"Insurance for my trip","Buy Travel Insurance",0.8
"Add health policy","Add Health Policy",1.0
"Add health policy","Buy Health Insurance",0.3
"Something for my bike","Add Vehicle Policy",0.2
"Something for my bike","Buy Bike Insurance",0.7
"Corporate policy help","Add Corporate Health Policy",0.6
"Corporate policy help","Buy Health Insurance",0.2
"Best policy for home","Add Home Policy",0.4
"Best policy for home","Buy Home Insurance",0.8
"Travel coverage needed","Add Travel Policy",0.3
"Travel coverage needed","Buy Travel Insurance",0.9
"Add and buy health stuff","Add Health Policy",0.7
"What’s the best exercise for abs?","Buy Travel insurance",0
"Find a nearby gas station","Buy Travel insurance",0
"Can you make a to-do list for me?","Buy Home insurance",0
"Write me a poem","Buy Home insurance",0
"Help me with my homework","Buy Home insurance",0
"Take a picture using my camera","Face Scan",0
"Post this on social media","Face Scan",0
"Start my car remotely","Face Scan",0
"What is my battery percentage?","driving score",0
"What’s the best smartphone right now?","driving score",0
"How do I set up a new WiFi router?","driving score",0
"Who is the president of the USA?","blogs",0
"What are the benefits of meditation?","blogs",0
"Tell me a fun fact","blogs",0
"How do I make an origami crane?","View Health Policies",0
"Show me my best vacation photos","View Health Policies",0
"I want to add a policy","FAQs",0
"I want to add a policy","Face Scan",0
"Find out about the policy revival process in my life insurance policy","Buy Car insurance",0.1
"Can you help me add a policy?","Add Policy",1
"List the planets in our solar system","View Home Policies",0
"Show me a live stream of space","View Home Policies",0
"Define quantum mechanics","FAQs",0
"I want to add a health policy","Add Health Policy",1
"Find my lost phone","IL DriveSmart",0
"Can you identify this bird?","Motor self inspection",0
"When is my friend’s birthday?","View Health Policies",0
"What’s the meaning of life?","FAQs",0
"Tell me about ancient civilizations","FAQs",0
"What’s the latest fashion trend?","Manage Documents",0
"Show me my stock investments","Manage Documents",0
"How do I play chess?","Manage Documents",0
"Sing me a lullaby","Steps",0
"How do I paint a landscape?","Steps",0
"Can you solve a Rubik’s Cube?","Steps",0
"Add and buy health stuff","Buy Health Insurance",0.7
"Health AdvantEdge cost","Buy Health AdvantEdge",0.8
"Health AdvantEdge cost","Add Health Policy",0.2
"Active Booster details","Buy Active Booster",0.6
"Active Booster details","Add Retail Health Policy",0.1
"Existing policy upload","Add Health Policy",0.5
"Existing policy upload","Buy Health Insurance",0.1
"New Elevate plan","Buy Elevate",0.9
"New Elevate plan","Add Health Policy",0.3
"MaxProtect for family","Buy MaxProtect",1.0
"MaxProtect for family","Add Corporate Health Policy",0.4
"Retail health options","Add Retail Health Policy",0.7
"Retail health options","Buy Active Booster Combo",0.2
"Vehicle policy registration","Add Vehicle Policy",1.0
"Vehicle policy registration","Buy Car Insurance",0.4
"Home insurance docs","Add Home Policy",0.8
"Home insurance docs","Buy Home Insurance",0.6
"Travel policy query","Add Travel Policy",0.5
"Travel policy query","Buy Travel Insurance",0.5
"Add my bike insurance","Add Vehicle Policy",1.0
"Add my bike insurance","Buy Bike Insurance",0.4
"Buy corporate plan","Add Corporate Health Policy",0.3
"Buy corporate plan","Buy Health Insurance",0.6
"Register old health plan","Add Health Policy",0.9
"Register old health plan","Buy Elevate",0.2
"Compare Health AdvantEdge","Buy Health AdvantEdge",0.7
"Compare Health AdvantEdge","Add Health Policy",0.1
"Active Booster pricing","Buy Active Booster",0.8
user_input,user_intent,score
"I want to add a policy","View Challans",0.1
"I want to add a policy","FAQs",0
"I want to add a policy","Face Scan",0
"I want to add a policy","Buy Bike insurance",0
"Please add a new policy for me","Track Health",0.1
"Display motor challans","View Challans",1
"I want to add a travel insurance policy","Add Travel Policy",1
"Please register a travel policy","Add Travel Policy",1
"Help me add travel coverage","Add Travel Policy",1
"What is my PUC validity?","PUC Validity",1
"Show PUC validity details","PUC Validity",1
"Need PUC validity info","PUC Validity",1
"Can I buy a car through this service?","Buy Policy",0.2
"I need health advice","Buy Health Insurance",0.3
"How do I renew my car insurance?","Renew Policy",1
"I want to claim my insurance","Claim Policy",1
"Help me process an insurance claim","Claim Policy",1
"I want to cancel my insurance policy","Cancel Policy",1
"Cancel my current health insurance","Cancel Health Policy",1
"I need travel assistance","Buy Travel insurance",0.4
"What happens if I lose my policy document?","Manage Documents",0.8
"Can I pay my premium online?","Premium Payment",1
"Show me my payment history","View Payment History",1
"Where can I check my past transactions?","View Payment History",1
"How do I update my personal details?","My Profile",1
"Update my registered phone number","My Profile",1
"Change my home address in my account","My Profile",1
"Help me register a policy","Add Policy",1
"Start a policy application","Add Policy",1
"Active Booster pricing","Add Retail Health Policy",0.1
"Link my car policy","Add Vehicle Policy",1.0
"Link my car policy","Buy Car Insurance",0.3
"Home policy assistance","Add Home Policy",0.6
"Home policy assistance","Buy Home Insurance",0.4
"Travel insurance FAQ","Buy Travel Insurance",0.5
"Travel insurance FAQ","Add Travel Policy",0.3
"Add Elevate to my account","Add Health Policy",0.4
"Add Elevate to my account","Buy Elevate",0.8
"MaxProtect renewal","Buy MaxProtect",0.7
"MaxProtect renewal","Add Corporate Health Policy",0.2
"Retail policy setup","Add Retail Health Policy",0.9
"Retail policy setup","Buy Active Booster",0.3
"Vehicle insurance help","Add Vehicle Policy",0.7
"Vehicle insurance help","Buy Car Insurance",0.6
"Upload home policy","Add Home Policy",1.0
"Upload home policy","Buy Home Insurance",0.2
"Travel plan options","Add Travel Policy",0.4
"Travel plan options","Buy Travel Insurance",0.8
"Health policy info","Add Health Policy",0.5
"Health policy info","Buy Health Insurance",0.5
"Corporate coverage query","Add Corporate Health Policy",0.6
"Corporate coverage query","Buy MaxProtect",0.4
"Active Booster Combo","Buy Active Booster Combo",1.0
"Active Booster Combo","Add Retail Health Policy",0.3
"I need to initiate a policy","Add Policy",1
"Can you help me add a policy?","Add Policy",1
"Process a new policy for my account","Add Policy",1
"I would like to add an insurance policy","Add Policy",1
"Register a new policy for me","Add Policy",1
"What is the capital of France?","Add Policy",0
"Initiate a travel insurance policy","Add Travel Policy",1
"I want to add a home insurance policy","Add Home Policy",1
"Register a home policy for me","Add Home Policy",1
"Help me add home coverage","Add Home Policy",1
"Initiate home insurance policy","Add Home Policy",1
"I want to buy insurance","Buy Policy",1
"List my challans","View Challans",1
"Book a flight ticket","Add Corporate Health Policy",0
"I want to do a face scan","Face Scan",1
"Scan my face","Face Scan",1
"How to perform a face scan","Face Scan",1
"Initiate a face scan process","Face Scan",1
"Check my PUC validity","PUC Validity",1
"Solve this math equation: 2+2","Add Policy",0
"Tell me a joke","Add Policy",0
"Find me the best restaurant nearby","Add Corporate Health Policy",0
"Translate this sentence to Spanish","Add Corporate Health Policy",0
"Tell me about black holes","Add Retail Health Policy",0
"When was the Eiffel Tower built?","Add Retail Health Policy",0
"Give me a summary of World War II","Add Retail Health Policy",0
"Set a timer for 5 minutes","Add Vehicle Policy",0
"Start a workout session","Add Vehicle Policy",0
